token_symbol,timestamp_date,price
WETH,10-10-2021,3431.02
WETH,11-10-2021,3537.84
WETH,12-10-2021,3498.11
WETH,13-10-2021,3605.65
WETH,14-10-2021,3794.52
WETH,15-10-2021,3885.64
WETH,16-10-2021,3854.5
WETH,17-10-2021,3854.22
WETH,18-10-2021,3752.62
WETH,19-10-2021,3884.59
WETH,20-10-2021,4170.11
WETH,21-10-2021,4074.86
WETH,22-10-2021,3990.71
WETH,23-10-2021,4179.44
WETH,24-10-2021,4094.94
WETH,25-10-2021,4230.21
WETH,26-10-2021,4152.57
WETH,27-10-2021,3944.09
WETH,28-10-2021,4288.1
WETH,29-10-2021,4422.94
WETH,30-10-2021,4324.61
WETH,31-10-2021,4292.04
WETH,01-11-2021,4330.55
WETH,02-11-2021,4596.59
WETH,03-11-2021,4607.7
WETH,04-11-2021,4550.01
WETH,05-11-2021,4494.8
WETH,06-11-2021,4527.1
WETH,07-11-2021,4626.63
WETH,08-11-2021,4815
WETH,09-11-2021,4742.08
WETH,10-11-2021,4641.53
WETH,11-11-2021,4732.92
WETH,12-11-2021,4685.11
WETH,13-11-2021,4666.5
WETH,14-11-2021,4652.95
WETH,15-11-2021,4583.21
WETH,16-11-2021,4243.55
WETH,17-11-2021,4302.8
WETH,18-11-2021,3993.85
WETH,19-11-2021,4317.6
WETH,20-11-2021,4436.19
WETH,21-11-2021,4319.36
WETH,22-11-2021,4101.06
WETH,23-11-2021,4355.42
WETH,24-11-2021,4269.44
WETH,25-11-2021,4515.84
WETH,26-11-2021,4048.31
WETH,27-11-2021,4084.09
WETH,28-11-2021,4290.09
WETH,29-11-2021,4444.53
WETH,30-11-2021,4637.12
WETH,01-12-2021,4589.61
WETH,02-12-2021,4519.44
WETH,03-12-2021,4240.16
WETH,04-12-2021,4101.66
WETH,05-12-2021,4198.57
WETH,06-12-2021,4347.62
WETH,07-12-2021,4310.57
WETH,08-12-2021,4431.54
WETH,09-12-2021,4153.33
WETH,10-12-2021,3918.2
WETH,11-12-2021,4079.81
WETH,12-12-2021,4135.84
WETH,13-12-2021,3782.9
WETH,14-12-2021,3858.16
WETH,15-12-2021,4015.72
WETH,16-12-2021,3971.56
WETH,17-12-2021,3886.75
WETH,18-12-2021,3966.43
WETH,19-12-2021,3928.84
WETH,20-12-2021,3950.48
WETH,21-12-2021,4036.55
WETH,22-12-2021,3992.59
WETH,23-12-2021,4113.53
WETH,24-12-2021,4055.12
WETH,25-12-2021,4110.57
WETH,26-12-2021,4075.03
WETH,27-12-2021,4045.05
WETH,28-12-2021,3807.36
WETH,29-12-2021,3644.41
WETH,30-12-2021,3714.95
WETH,31-12-2021,3686.4
AXS,16-07-2021,20.75
AXS,17-07-2021,18.48
AXS,18-07-2021,18.77
AXS,19-07-2021,17.09
AXS,20-07-2021,15.19
AXS,21-07-2021,22.18
AXS,22-07-2021,25.25
AXS,23-07-2021,42.76
AXS,24-07-2021,42.4
AXS,25-07-2021,43.4
AXS,26-07-2021,40.36
AXS,27-07-2021,47.21
AXS,28-07-2021,45.99
AXS,29-07-2021,44.37
AXS,30-07-2021,43.29
AXS,31-07-2021,42.91
AXS,01-08-2021,38.13
AXS,02-08-2021,40.34
AXS,03-08-2021,38.53
AXS,04-08-2021,43.94
AXS,05-08-2021,42.7
AXS,06-08-2021,42.69
AXS,07-08-2021,41.28
AXS,08-08-2021,42.27
AXS,09-08-2021,43.65
AXS,10-08-2021,63.74
AXS,11-08-2021,66.42
AXS,12-08-2021,65.97
AXS,13-08-2021,70.73
AXS,14-08-2021,67.77
AXS,15-08-2021,67.07
AXS,16-08-2021,66.7
AXS,17-08-2021,71.27
AXS,18-08-2021,69.83
AXS,19-08-2021,71.8
AXS,20-08-2021,73.23
AXS,21-08-2021,76.87
AXS,22-08-2021,77.01
AXS,23-08-2021,76.82
AXS,24-08-2021,69.86
AXS,25-08-2021,72.76
AXS,26-08-2021,70.52
AXS,27-08-2021,73.37
AXS,28-08-2021,74.57
AXS,29-08-2021,78.65
AXS,30-08-2021,73.4
AXS,31-08-2021,72.64
AXS,01-09-2021,74.05
AXS,02-09-2021,72.68
AXS,03-09-2021,73.88
AXS,04-09-2021,82.9
AXS,05-09-2021,82.18
AXS,06-09-2021,79.22
AXS,07-09-2021,64.36
AXS,08-09-2021,68.34
AXS,09-09-2021,69.13
AXS,10-09-2021,65.69
AXS,11-09-2021,68.69
AXS,12-09-2021,70.09
AXS,13-09-2021,65.22
AXS,14-09-2021,66.76
AXS,15-09-2021,68.52
AXS,16-09-2021,67.41
AXS,17-09-2021,65.91
AXS,18-09-2021,65.96
AXS,19-09-2021,63.89
AXS,20-09-2021,55.05
AXS,21-09-2021,50.24
AXS,22-09-2021,61.57
AXS,23-09-2021,67.47
AXS,24-09-2021,68.38
AXS,25-09-2021,65.75
AXS,26-09-2021,63.77
AXS,27-09-2021,63.64
AXS,28-09-2021,69.21
AXS,29-09-2021,69.22
AXS,30-09-2021,74.59
AXS,01-10-2021,109.65
AXS,02-10-2021,107.8
AXS,03-10-2021,135.96
AXS,04-10-2021,134.6
AXS,05-10-2021,129.92
AXS,06-10-2021,127.06
AXS,07-10-2021,124.68
AXS,08-10-2021,125.83
AXS,09-10-2021,126.61
AXS,10-10-2021,116.35
AXS,11-10-2021,116.05
AXS,12-10-2021,122.02
AXS,13-10-2021,121.91
AXS,14-10-2021,135.21
AXS,15-10-2021,126.48
AXS,16-10-2021,125.63
AXS,17-10-2021,124.62
AXS,18-10-2021,122.17
AXS,19-10-2021,122.42
AXS,20-10-2021,128.01
AXS,21-10-2021,120.57
AXS,22-10-2021,128.81
AXS,23-10-2021,126.34
AXS,24-10-2021,123.32
AXS,25-10-2021,132.67
AXS,26-10-2021,129.02
AXS,27-10-2021,123
AXS,28-10-2021,126.7
AXS,29-10-2021,142.8
AXS,30-10-2021,147.37
AXS,31-10-2021,138.16
AXS,01-11-2021,137.44
AXS,02-11-2021,140.62
AXS,03-11-2021,141.77
AXS,04-11-2021,147.09
AXS,05-11-2021,152.2
AXS,06-11-2021,157.8
AXS,07-11-2021,159.76
AXS,08-11-2021,153.39
AXS,09-11-2021,150.4
AXS,10-11-2021,142.36
AXS,11-11-2021,146.99
AXS,12-11-2021,144.01
AXS,13-11-2021,143.58
AXS,14-11-2021,143.05
AXS,15-11-2021,143.01
AXS,16-11-2021,134.42
AXS,17-11-2021,135.65
AXS,18-11-2021,123.56
AXS,19-11-2021,132.64
AXS,20-11-2021,133.1
AXS,21-11-2021,131.97
AXS,22-11-2021,128.14
AXS,23-11-2021,137.31
AXS,24-11-2021,140.28
AXS,25-11-2021,138.77
AXS,26-11-2021,125.25
AXS,27-11-2021,127.17
AXS,28-11-2021,132.86
AXS,29-11-2021,134.49
AXS,30-11-2021,137.02
AXS,01-12-2021,134.86
AXS,02-12-2021,134.9
AXS,03-12-2021,128.45
AXS,04-12-2021,117.79
AXS,05-12-2021,107.18
AXS,06-12-2021,106.01
AXS,07-12-2021,105.87
AXS,08-12-2021,112.64
AXS,09-12-2021,104.29
AXS,10-12-2021,97.59
AXS,11-12-2021,102.88
AXS,12-12-2021,104.15
AXS,13-12-2021,92.99
AXS,14-12-2021,96.04
AXS,15-12-2021,101.99
AXS,16-12-2021,98.08
AXS,17-12-2021,94.92
AXS,18-12-2021,96.28
AXS,19-12-2021,95.38
AXS,20-12-2021,93
AXS,21-12-2021,97.45
AXS,22-12-2021,101.85
AXS,23-12-2021,107.55
AXS,24-12-2021,104.87
AXS,25-12-2021,109.71
AXS,26-12-2021,107.9
AXS,27-12-2021,107.2
AXS,28-12-2021,100.17
AXS,29-12-2021,93.82
AXS,30-12-2021,95.17
AXS,31-12-2021,93.58
